date,regionnavn,tests,cases,pospct,rm
2020-07-28,Hovedstaden,8041,30,0.00373087924387514,0.0026220892093072137
2020-07-29,Hovedstaden,7661,22,0.0028716877692207283,0.002608320030647667
2020-07-30,Hovedstaden,8208,26,0.003167641325536062,0.00275548513174357
2020-07-31,Hovedstaden,7564,13,0.001718667371760973,0.002696636051106811
2020-08-01,Hovedstaden,5673,10,0.0017627357659086903,0.0025551285372584073
2020-08-02,Hovedstaden,6670,21,0.0031484257871064467,0.0026192241737467807
2020-08-03,Hovedstaden,8480,21,0.0024764150943396225,0.002742873608721891
2020-08-04,Hovedstaden,9123,25,0.002740326646936315,0.0028271976385699374
2020-08-05,Hovedstaden,8734,29,0.0033203572246393405,0.002974420541923764
2020-08-06,Hovedstaden,8678,35,0.004033187370361835,0.00332732363383011
2020-08-07,Hovedstaden,8662,20,0.0023089355806972986,0.003618604878584971
2020-08-08,Hovedstaden,6802,19,0.002793296089385475,0.003800392656378751
2020-08-09,Hovedstaden,7297,41,0.005618747430450871,0.004040118479734375
2020-08-10,Hovedstaden,9523,43,0.004515383807623648,0.003952693357021327
2020-08-11,Hovedstaden,9968,40,0.0040128410914927765,0.004382134848561936
2020-08-12,Hovedstaden,9603,48,0.00499843798812871,0.0044373282984316925
2020-08-13,Hovedstaden,9938,34,0.003421211511370497,0.004135610267747762
2020-08-14,Hovedstaden,9031,48,0.0053150260214815635,0.0038769078714414457
2020-08-15,Hovedstaden,8177,26,0.003179650238473768,0.0038012748953200792
2020-08-16,Hovedstaden,8555,30,0.0035067212156633548,0.00350495919555755
2020-08-17,Hovedstaden,10723,29,0.0027044670334794366,0.003326801833037408
2020-08-18,Hovedstaden,11483,40,0.0034834102586432116,0.0029922761265750546
2020-08-19,Hovedstaden,11627,34,0.0029242280897910037,0.0029717565782695177
2020-08-20,Hovedstaden,11039,24,0.0021741099737295046,0.0028022849322177595
2020-08-21,Hovedstaden,9417,28,0.0029733460762450888,0.002722756259295562
2020-08-22,Hovedstaden,9552,29,0.0030360134003350084,0.0026360945092937225
2020-08-23,Hovedstaden,9912,23,0.002320419693301049,0.0026149894057015785
2020-08-24,Hovedstaden,11640,25,0.002147766323024055,0.002581841621973053
2020-08-25,Hovedstaden,12514,36,0.002876778008630334,0.002697862033793831
2020-08-26,Hovedstaden,12966,36,0.002776492364645997,0.002843656225776922
2020-08-27,Hovedstaden,11843,23,0.0019420754876298236,0.003237551789038605
2020-08-28,Hovedstaden,11095,42,0.0037854889589905363,0.003623190677590985
2020-08-29,Hovedstaden,9121,37,0.004056572744216643,0.004202321400544785
2020-08-30,Hovedstaden,9847,50,0.0050776886361328325,0.004706752440849566
2020-08-31,Hovedstaden,13616,66,0.004847238542890717,0.005701957862650375
2020-09-01,Hovedstaden,13130,91,0.006930693069306931,0.006425788905471131
2020-09-02,Hovedstaden,13476,85,0.00630750964677946,0.007227123644285314
2020-09-03,Hovedstaden,12909,115,0.008908513440235495,0.008261954043121848
2020-09-04,Hovedstaden,12878,114,0.008852306258735829,0.008874349098578932
2020-09-05,Hovedstaden,10656,103,0.009665915915915917,0.009108784453635981
2020-09-06,Hovedstaden,12255,151,0.012321501427988575,0.009499412469170453
2020-09-07,Hovedstaden,17298,158,0.0091340039310903,0.00972620064755137
2020-09-08,Hovedstaden,18316,157,0.008571740554706268,0.00990614103183519
2020-09-09,Hovedstaden,17253,156,0.009041905755520779,0.010029783424119391
2020-09-10,Hovedstaden,18769,197,0.010496030688901913,0.009683747539306993
2020-09-11,Hovedstaden,16713,169,0.010111888948722551,0.009815064541294516
2020-09-12,Hovedstaden,16522,174,0.010531412661905338,0.010106725032645427
2020-09-13,Hovedstaden,17072,169,0.009899250234301781,0.010636107250628432
2020-09-14,Hovedstaden,21983,221,0.010053222945002957,0.01107754937386056
2020-09-15,Hovedstaden,22613,240,0.01061336399416265,0.011366406840241497
2020-09-16,Hovedstaden,24083,307,0.01274758128140182,0.011865488995841078
2020-09-17,Hovedstaden,22891,311,0.013586125551526801,0.012277551953624352
2020-09-18,Hovedstaden,21510,261,0.012133891213389121,0.012727426830613365
2020-09-19,Hovedstaden,16328,229,0.0140249877511024,0.013044614197830373
2020-09-20,Hovedstaden,17757,227,0.012783690938784705,0.013088113510017345
2020-09-21,Hovedstaden,22496,297,0.01320234708392603,0.012956274788446298
2020-09-22,Hovedstaden,23376,300,0.012833675564681724,0.012683179218279597
2020-09-23,Hovedstaden,22755,297,0.013052076466710614,0.012319104796067218
2020-09-24,Hovedstaden,22664,287,0.012663254500529474,0.012131071285806346
2020-09-25,Hovedstaden,20250,207,0.010222222222222223,0.011700645766875234
2020-09-26,Hovedstaden,15510,178,0.011476466795615732,0.011234455259606622
2020-09-27,Hovedstaden,15871,182,0.011467456366958603,0.010716275319972515
2020-09-28,Hovedstaden,20806,212,0.010189368451408248,0.010310987999816416
2020-09-29,Hovedstaden,19853,190,0.00957034201380144,0.010090688831967384
2020-09-30,Hovedstaden,18568,175,0.009424816889271865,0.010104736882537465
2020-10-01,Hovedstaden,16690,164,0.009826243259436788,0.010055281332944092
2020-10-02,Hovedstaden,16244,141,0.008680128047278995,0.009803656640283613
2020-10-03,Hovedstaden,12700,147,0.0115748031496063,0.009812068523285993
2020-10-04,Hovedstaden,13128,146,0.011121267519804997,0.009638146946407813
2020-10-05,Hovedstaden,19103,161,0.008427995602784902,0.009386041098253032
2020-10-06,Hovedstaden,20147,194,0.009629225194818087,0.00958230582101499
2020-10-07,Hovedstaden,19251,158,0.008207365851124616,0.009401938435686364
2020-10-08,Hovedstaden,18731,151,0.008061502322353318,0.009173201475891858
2020-10-09,Hovedstaden,14820,149,0.010053981106612686,0.009353325622468435
2020-10-10,Hovedstaden,10473,108,0.01031223145230593,0.009552941283567045
2020-10-11,Hovedstaden,10294,98,0.009520108801243442,0.01050712951259254
2020-10-12,Hovedstaden,14656,142,0.00968886462882096,0.011270805668410305
2020-10-13,Hovedstaden,14057,155,0.01102653482250836,0.012040405006121097
2020-10-14,Hovedstaden,13502,201,0.014886683454303067,0.01357986270924163
2020-10-15,Hovedstaden,13351,179,0.013407235413077673,0.014962033730690149
2020-10-16,Hovedstaden,12240,189,0.015441176470588236,0.015864250892708404
2020-10-17,Hovedstaden,10290,217,0.02108843537414966,0.016824292619818177
2020-10-18,Hovedstaden,11930,229,0.01919530595138307,0.017420827556628996
2020-10-19,Hovedstaden,18245,292,0.016004384762948753,0.018563405400441383
2020-10-20,Hovedstaden,17806,316,0.01774682691227676,0.01930221067185357
2020-10-21,Hovedstaden,17364,331,0.019062428011978806,0.01969894972240277
2020-10-22,Hovedstaden,19014,407,0.021405280319764384,0.020237485365195353
2020-10-23,Hovedstaden,17950,370,0.020612813370473538,0.020567878787966756
2020-10-24,Hovedstaden,16132,385,0.02386560872799405,0.021115904540737165
2020-10-25,Hovedstaden,19116,439,0.02296505545093116,0.021339529494823473
2020-10-26,Hovedstaden,24185,443,0.018317138722348563,0.020946553256619687
2020-10-27,Hovedstaden,26317,568,0.021583007181669642,0.02101753223700965
2020-10-28,Hovedstaden,25645,529,0.02062780269058296,0.02130691636832189
2020-10-29,Hovedstaden,24659,460,0.01865444665233789,0.021407471338515793
2020-10-30,Hovedstaden,23070,487,0.021109666233203293,0.02187776041886725
2020-10-31,Hovedstaden,19466,504,0.0258912976471797,0.02169602285357953
2020-11-01,Hovedstaden,19646,465,0.023668940242288508,0.02171314105775846
2020-11-02,Hovedstaden,27766,600,0.021609162284808758,0.021370777699904947
2020-11-03,Hovedstaden,28310,575,0.020310844224655598,0.020917821973253797
2020-11-04,Hovedstaden,27955,580,0.02074763011983545,0.01974645626374562
2020-11-05,Hovedstaden,28786,468,0.016257903147363303,0.01874511728901682
2020-11-06,Hovedstaden,25531,458,0.017938976146645254,0.01813288220174197
2020-11-07,Hovedstaden,21592,382,0.017691737680622453,0.017779017798796728
2020-11-08,Hovedstaden,21129,352,0.0166595674191869,0.017240666449854773
2020-11-09,Hovedstaden,27708,480,0.0173235166738848,0.017565269735358654
2020-11-10,Hovedstaden,27532,491,0.017833793404038935,0.017916747806977024
2020-11-11,Hovedstaden,25973,441,0.01697917067724175,0.018745922323120195
2020-11-12,Hovedstaden,25526,473,0.018530126145890464,0.0194362130659284
2020-11-13,Hovedstaden,25393,518,0.020399322647973853,0.01996507107754879
2020-11-14,Hovedstaden,20046,471,0.023495959293624663,0.020464286809732717
2020-11-15,Hovedstaden,21078,453,0.021491602618844294,0.02108429699619922
2020-11-16,Hovedstaden,26016,547,0.021025522755227552,0.021507776933622734
2020-11-17,Hovedstaden,27569,588,0.021328303529326416,0.021754170333003222
2020-11-18,Hovedstaden,27440,585,0.02131924198250729,0.021696976306311393
2020-11-19,Hovedstaden,26658,573,0.021494485707855053,0.02086388382608659
2020-03-04,Midtjylland,16,0,0,0.005291005291005291
2020-03-05,Midtjylland,19,0,0,0.047195767195767194
2020-03-06,Midtjylland,41,0,0,0.07766293036435216
2020-03-07,Midtjylland,27,1,0.037037037037037035,0.1164769465368589
2020-03-08,Midtjylland,75,22,0.29333333333333333,0.13451446457437694
2020-03-09,Midtjylland,211,45,0.2132701421800948,0.1388932275738296
2020-03-10,Midtjylland,265,72,0.27169811320754716,0.144298632979235
2020-03-11,Midtjylland,198,25,0.12626262626262627,0.14476026431334957
